system:index,area,class,territory,year,.geo
0_2_4,1.930702130126953,7,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,420.11548948974627,9,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,62973.40387263383,11,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,82210.67286866727,12,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,5938.602281463608,15,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,8867.65789655761,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,80.66523295288081,23,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,112.92780879516616,24,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_12,1022.3267672546347,25,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_13,4386.489475555404,29,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_14,64.21250347900389,30,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_15,72.350239239502,32,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_16,12440.79862518921,33,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_17,580.8609475830082,39,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_18,741.5315298645007,40,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_19,9279.998765038967,41,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_20,11.619044812011715,46,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_21,0.7489300903320313,47,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1.32127051614643E7,3,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1356705.9373378973,4,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,477.56633365478604,5,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,1061032.8129830675,6,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,3954.1256916564867,7,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,3581.808296325688,9,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1101618.8233260633,11,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,480772.8657945964,12,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,25.206636676025393,13,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,1140626.7983893414,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
